dataset,chunk_size,overlap,retriever,rerank,top_k,f1,em,groundedness,latency,semantic,qagl
covid_qa_deepset,512,100,dense,False,1,0.08646959603829864,0.0,0.06,12.267567191123963,0.3681084456294775,0.11299896177078571
covid_qa_deepset,512,100,dense,False,3,0.09370837152450137,0.0,0.11,16.840032210350035,0.37478398794308304,0.09940476093077046
covid_qa_deepset,512,100,dense,True,1,0.11969646397384812,0.01,0.07,12.58802571296692,0.41392144586890933,0.12843340632188777
covid_qa_deepset,512,100,dense,True,3,0.1010997472898147,0.0,0.11,18.029805572032927,0.40017905505374074,0.09861962590345247
covid_qa_deepset,512,100,bm25,False,1,0.13861969213031375,0.0,0.08,12.296258065700531,0.4523328744992614,0.13811517791778916
covid_qa_deepset,512,100,bm25,False,3,0.1191360687139954,0.0,0.11,17.388985006809236,0.4299882022663951,0.10672968429341978
covid_qa_deepset,512,100,bm25,True,1,0.1406022167053968,0.01,0.07,12.524099595546723,0.4452115278411657,0.13709593850726945
covid_qa_deepset,512,100,bm25,True,3,0.12311703556609911,0.0,0.09,17.992951638698578,0.4493965518847108,0.1058555378721928
covid_qa_deepset,512,100,hybrid,False,1,0.1070205774006941,0.0,0.06,12.32230749130249,0.37618493154644966,0.12333207780419213
covid_qa_deepset,512,100,hybrid,False,3,0.10866262888851905,0.0,0.09,17.84096583366394,0.40988891741260886,0.1017520096663676
covid_qa_deepset,512,100,hybrid,True,1,0.1436522743971733,0.01,0.08,12.462230534553528,0.45304769460111854,0.13869139575287298
covid_qa_deepset,512,100,hybrid,True,3,0.13119025837530712,0.0,0.09,17.86879949092865,0.4534050220809877,0.10831556555336797
